"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_10mon","WAB_30min_10mon","Redspider_harvest1_5","carotenoidtotal","betacarotenoid_nirs","branch_number","DM_gravity","DM_nirs","DM_raw","height_1st_branch","yield_ha","shoot_weight_plot","root_weight_plot","frogskin1_5","HCN_linamarase_10mon","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","mites_3mon","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","cook_time_10mon","carotenoid1_8","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha"
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_ARG20_60",1,60,3,18,"test"," (Operator: lizbethpino, Time: )","ARG20","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,NA,NA,NA,5,4,NA,NA,2,NA,1,NA,5,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_ARG49_387",1,387,19,9,"test"," (Operator: lizbethpino, Time: )","ARG49","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,20.17,2,0.85,0.65,NA,NA,41.83,NA,NA,NA,NA,NA,5,54.64,3,1,NA,NA,NA,5,4,NA,NA,2,NA,3,NA,5,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_ARG55_78",1,78,4,7,"test"," (Operator: lizbethpino, Time: )","ARG55","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,16.87,3,0.93,0.34,NA,NA,47.1,NA,NA,NA,NA,NA,3,32.78,2,1,NA,NA,NA,5,4,NA,NA,2,NA,3,NA,3,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_ARG62_328",1,328,16,9,"test"," (Operator: lizbethpino, Time: )","ARG62","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,5.73,2,-0.63,-0.19,NA,NA,29.7,NA,NA,NA,NA,NA,1,20.41,2,1,NA,NA,NA,5,5,NA,NA,2,NA,3,NA,5,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_ARG65_386",1,386,19,8,"test"," (Operator: lizbethpino, Time: )","ARG65","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,13.76,1,0.79,0.18,NA,NA,43.28,NA,NA,NA,NA,NA,3,79.82,4,1,NA,NA,NA,5,4,NA,NA,2,NA,3,NA,3,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_ARG67_419",1,419,20,2,"test"," (Operator: lizbethpino, Time: )","ARG67","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,16.36,2,1.63,0.89,NA,NA,42.62,NA,NA,NA,NA,NA,1,34.02,4,1,NA,NA,NA,5,2,NA,NA,2,NA,1,NA,4,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_ARG73_261",1,261,13,9,"test"," (Operator: lizbethpino, Time: )","ARG73","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,7.52,1,1.41,1.09,NA,NA,46.17,NA,NA,NA,NA,NA,1,38.31,3,2,NA,NA,NA,5,4,NA,NA,2,NA,3,NA,3,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_ARG74_402",1,402,20,19,"test"," (Operator: lizbethpino, Time: )","ARG74","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,9.17,2,1.36,0.96,NA,NA,40.57,NA,NA,NA,NA,NA,4,67.68,3,1,NA,NA,NA,5,3,NA,NA,2,NA,3,NA,3,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_ARG94_285",1,285,14,10,"test"," (Operator: lizbethpino, Time: )","ARG94","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,12.16,2,0.98,0.65,NA,NA,41.23,NA,NA,NA,NA,NA,1,51.82,3,1,NA,NA,NA,5,3,NA,NA,2,NA,1,NA,3,NA,NA,NA,NA,NA,5,NA,NA,3,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_ARG97_216",1,216,11,6,"test"," (Operator: lizbethpino, Time: )","ARG97","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,6.29,1,0.62,0.45,NA,NA,37.31,NA,NA,NA,NA,NA,1,76.69,2,1,NA,NA,NA,5,5,NA,NA,2,NA,1,NA,4,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
